loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3127,0.29698142409324646,1.6021390374331552e-05,1.0,187,,,,,,,,,,,,
,,,1.0,187,0.18399804830551147,0.9315709265076354,0.9314484798355767,0.9318181818181818,2.4999,52.802,13.201,,,,,
0.1454,0.11900103092193604,1.2021390374331551e-05,2.0,374,,,,,,,,,,,,
,,,2.0,374,0.2094070315361023,0.9384437883877973,0.939604377104377,0.9393939393939394,4.533,29.119,7.28,,,,,
0.0807,0.0741042047739029,8.02139037433155e-06,3.0,561,,,,,,,,,,,,
,,,3.0,561,0.19683468341827393,0.9463620158807323,0.9469373679899995,0.946969696969697,2.5327,52.118,13.029,,,,,
0.0574,2.9859137535095215,4.021390374331552e-06,4.0,748,,,,,,,,,,,,
,,,4.0,748,0.23437127470970154,0.9384437883877973,0.939604377104377,0.9393939393939394,2.4301,54.319,13.58,,,,,
0.0468,0.05217258632183075,2.1390374331550803e-08,5.0,935,,,,,,,,,,,,
,,,5.0,935,0.2838744521141052,0.9384437883877973,0.939604377104377,0.9393939393939394,2.4716,53.407,13.352,,,,,
,,,5.0,935,,,,,,,,236.6519,15.804,3.951,292904834669784.0,0.12861075681798598
