,Epoch,Training Loss,Validation Loss,Spearmanr
0,1,1.229247893,1.62281532,0.503673
1,2,1.184739048,1.590758945,0.587266
2,3,1.161570905,1.544003011,0.599251
3,4,1.124909065,1.503092884,0.605042
4,5,1.08329278,1.467583209,0.60985
5,6,1.050701178,1.418735549,0.618095
6,7,1.027242649,1.382137458,0.625815
7,8,1.009595974,1.357280255,0.632807
8,9,0.995040468,1.338891449,0.639315
9,10,0.982367058,1.323177729,0.644675
10,11,0.971240069,1.309090467,0.64948
11,12,0.961045429,1.2962786,0.653587
12,13,0.951946581,1.284560034,0.656185
13,14,0.943291316,1.271849978,0.659351
14,15,0.934940509,1.258365226,0.662006
15,16,0.92691222,1.24395536,0.663856
16,17,0.919196366,1.229767313,0.664833
17,18,0.911817446,1.216917974,0.665627
18,19,0.904842046,1.204122192,0.666546
19,20,0.897863158,1.1912208,0.667337
