,Epoch,Training Loss,Validation Loss,Spearmanr
0,1,1.2272728186718282,1.6564816058636709,0.499677
1,2,1.1918396982239847,1.5659077863797837,0.465878
2,3,0.9495185642617749,1.2368277182133252,0.657286
3,4,0.7318540418590295,0.8361761696937605,0.804779
4,5,0.5621528305950012,0.8134582642262184,0.829817
5,6,0.46617497158122256,0.6576236965813127,0.841819
6,7,0.3767610591024479,0.608435020052431,0.854025
7,8,0.2926090110173041,0.5187477051283033,0.861094
8,9,0.2491028019012933,0.6146087094494155,0.86464
9,10,0.22207532138787808,0.5741517414250683,0.87099
