loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2147,8.98572063446045,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.71487557888031,0.5694496407528237,54.0929,106.169,13.273,,,,,
1.1462,0.5271302461624146,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.3787294626235962,0.5780512938978486,51.8122,110.843,13.858,,,,,
1.1237,1.5552600622177124,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,1.3744163513183594,0.5857621368537452,51.7765,110.919,13.867,,,,,
1.0946,6.47520112991333,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,1.744667649269104,0.5948584813974448,51.7983,110.872,13.861,,,,,
1.1087,1.5477973222732544,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,1.2831069231033325,0.6012488545483619,51.757,110.961,13.873,,,,,
1.0645,6.435396671295166,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,1.494931697845459,0.6111435798194885,51.8225,110.821,13.855,,,,,
1.0588,0.8107334971427917,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,1.2807906866073608,0.6200608793167558,51.758,110.959,13.872,,,,,
1.0549,7.914063453674316,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,1.674349308013916,0.6271492085927067,51.772,110.929,13.869,,,,,
1.0383,0.9982607364654541,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,1.2955036163330078,0.6334053554406381,51.8151,110.836,13.857,,,,,
1.0104,8.249893188476562,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,1.325143575668335,0.640396824196924,51.7753,110.922,13.868,,,,,
1.0167,3.9445390701293945,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,1.6882237195968628,0.6435232421639516,51.7913,110.887,13.863,,,,,
0.992,4.509222984313965,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,1.283088207244873,0.6480766817574771,51.7501,110.976,13.874,,,,,
0.9869,4.870617389678955,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,1.2199801206588745,0.6488789311698414,51.8481,110.766,13.848,,,,,
0.976,8.274744987487793,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,1.9844375848770142,0.6526703012048098,51.8016,110.865,13.861,,,,,
0.962,3.767916679382324,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,1.2385904788970947,0.6551204809735584,51.9066,110.641,13.833,,,,,
0.9636,13.658884048461914,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,1.2412140369415283,0.6579688000066185,51.9087,110.637,13.832,,,,,
0.9478,0.6065549850463867,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,1.2802478075027466,0.6586669422724563,51.8007,110.867,13.861,,,,,
0.936,3.130150079727173,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,1.2126909494400024,0.6596154903284509,51.9088,110.636,13.832,,,,,
0.9311,10.804499626159668,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,1.1908515691757202,0.6604911594563635,51.9798,110.485,13.813,,,,,
0.9191,2.9642956256866455,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,1.220936894416809,0.6609337983126544,52.0713,110.291,13.789,,,,,
,,,20.0,7480,,,,,,1606.7444,37.218,4.655,3207853629583200.0,1.027291388690153
