loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_spearmanr,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.2121,16.869083404541016,0.00028504010695187164,1.0,374,,,,,,,,,,
,,,1.0,374,1.9146147966384888,0.42903121117140025,17.4881,328.396,41.057,,,,,
1.0155,6.201610565185547,0.00027004010695187166,2.0,748,,,,,,,,,,
,,,2.0,748,1.0734984874725342,0.7294479471867024,22.6423,253.64,31.711,,,,,
0.7347,3.7783594131469727,0.0002550401069518716,3.0,1122,,,,,,,,,,
,,,3.0,1122,0.9372367858886719,0.7803440240932108,17.3037,331.894,41.494,,,,,
0.5508,2.782630681991577,0.00024004010695187163,4.0,1496,,,,,,,,,,
,,,4.0,1496,0.8695583939552307,0.7889918568734624,17.2265,333.383,41.68,,,,,
0.4765,7.981956481933594,0.00022504010695187162,5.0,1870,,,,,,,,,,
,,,5.0,1870,0.7547934651374817,0.824656927330061,17.1836,334.213,41.784,,,,,
0.4138,1.919956088066101,0.00021004010695187164,6.0,2244,,,,,,,,,,
,,,6.0,2244,0.6537081003189087,0.8423373744595499,17.01,337.625,42.21,,,,,
0.357,3.5478267669677734,0.00019504010695187165,7.0,2618,,,,,,,,,,
,,,7.0,2618,0.6340707540512085,0.8347348642743372,17.125,335.357,41.927,,,,,
0.3124,7.341491222381592,0.00018004010695187164,8.0,2992,,,,,,,,,,
,,,8.0,2992,0.7866575717926025,0.8351312629403852,16.9997,337.829,42.236,,,,,
0.2508,6.327056884765625,0.00016504010695187165,9.0,3366,,,,,,,,,,
,,,9.0,3366,0.5568601489067078,0.8460100809300654,17.1605,334.664,41.84,,,,,
0.2124,2.7013442516326904,0.00015004010695187164,10.0,3740,,,,,,,,,,
,,,10.0,3740,0.5487425923347473,0.8567443549654934,17.0822,336.198,42.032,,,,,
0.1782,2.4292001724243164,0.00013504010695187166,11.0,4114,,,,,,,,,,
,,,11.0,4114,0.6456269025802612,0.8589075866108251,17.3338,331.317,41.422,,,,,
0.1553,2.971856117248535,0.00012004010695187164,12.0,4488,,,,,,,,,,
,,,12.0,4488,0.5011665225028992,0.868857155777826,17.367,330.685,41.343,,,,,
0.133,3.298571825027466,0.00010504010695187166,13.0,4862,,,,,,,,,,
,,,13.0,4862,0.510875403881073,0.8628150714769505,17.221,333.488,41.693,,,,,
0.1157,5.550025463104248,9.004010695187165e-05,14.0,5236,,,,,,,,,,
,,,14.0,5236,0.49395817518234253,0.868019606787963,17.2051,333.797,41.732,,,,,
0.1033,1.289759874343872,7.504010695187165e-05,15.0,5610,,,,,,,,,,
,,,15.0,5610,0.4450242221355438,0.8705133999568611,17.115,335.554,41.952,,,,,
0.0893,3.329080104827881,6.004010695187165e-05,16.0,5984,,,,,,,,,,
,,,16.0,5984,0.4643649160861969,0.8745569328545137,17.2737,332.47,41.566,,,,,
0.0778,5.326493263244629,4.504010695187166e-05,17.0,6358,,,,,,,,,,
,,,17.0,6358,0.43213486671447754,0.869342278737409,17.0346,337.138,42.15,,,,,
0.0681,1.2505736351013184,3.0040106951871652e-05,18.0,6732,,,,,,,,,,
,,,18.0,6732,0.4442623555660248,0.8732777060831454,17.0586,336.662,42.09,,,,,
0.0597,5.387206077575684,1.5040106951871657e-05,19.0,7106,,,,,,,,,,
,,,19.0,7106,0.434625506401062,0.8716529877278443,17.0933,335.98,42.005,,,,,
0.0527,1.4811313152313232,4.0106951871657754e-08,20.0,7480,,,,,,,,,,
,,,20.0,7480,0.4308364987373352,0.8705186939111624,17.0662,336.514,42.072,,,,,
,,,20.0,7480,,,,,,974.3651,61.373,7.677,718646638975200.0,0.3284643402711593
