loss,grad_norm,learning_rate,epoch,step,eval_f1,eval_loss,eval_f1_class_0,eval_f1_class_1,eval_f1_class_2,eval_precision_class_0,eval_precision_class_1,eval_precision_class_2,eval_recall_class_0,eval_recall_class_1,eval_recall_class_2,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9272,2.1320559978485107,0.0002702076124567474,1.0,289,,,,,,,,,,,,,,,,,,,,
,,,1.0,289,0.5900545953643017,0.8977330327033997,0.22438476953907815,0.6796738778351332,0.6870894197583153,0.376742934051144,0.7193814282588081,0.5976032228736244,0.1597716894977169,0.6441204901115553,0.8080950463149416,"[[6998, 7733, 29069], [4972, 49310, 22272], [6605, 11502, 76247]]",16.4557,35.125,8.812,,,,,
0.8705,1.891605019569397,0.0002402076124567474,2.0,578,,,,,,,,,,,,,,,,,,,,
,,,2.0,578,0.5813233002893815,0.8818256855010986,0.42509074517805034,0.6781593368766007,0.575280100944132,0.3251787593916736,0.7169349908294274,0.7160061240273371,0.6136301369863014,0.6433628549781854,0.48078512834644,"[[26877, 7096, 9827], [19136, 49252, 8166], [36640, 12350, 45364]]",17.2946,33.421,8.384,,,,,
0.79,4.015252590179443,0.0002102076124567474,3.0,867,,,,,,,,,,,,,,,,,,,,
,,,3.0,867,0.5985353709473837,0.8893038630485535,0.4032954593098822,0.6955578852778194,0.6104484490115928,0.3728005580962716,0.6423852784632238,0.7011810319937305,0.43922374429223743,0.7583274551297123,0.5405070267291264,"[[19238, 12053, 12509], [9276, 58053, 9225], [23090, 20265, 50999]]",16.9009,34.199,8.579,,,,,
0.6688,2.4839491844177246,0.0001802076124567474,4.0,1156,,,,,,,,,,,,,,,,,,,,
,,,4.0,1156,0.5567055696136143,0.9878789186477661,0.4306289725426413,0.6653986978387543,0.5270434589830235,0.3131633828244156,0.7317321551670113,0.7197563258041432,0.6891095890410959,0.6100922224834757,0.4157322424062573,"[[30183, 5945, 7672], [22248, 46705, 7601], [43950, 11178, 39226]]",16.4121,35.218,8.835,,,,,
0.5417,2.5261454582214355,0.0001502076124567474,5.0,1445,,,,,,,,,,,,,,,,,,,,
,,,5.0,1445,0.6044802813950673,1.0146653652191162,0.3904450001569481,0.6768184872743406,0.6451459267873955,0.3603808935159253,0.6760906685436463,0.6755938572886703,0.42598173515981735,0.6775478747028242,0.6173241198041418,"[[18658, 9690, 15452], [12168, 51869, 12517], [20947, 15160, 58247]]",17.4799,33.066,8.295,,,,,
0.4071,1.2809138298034668,0.00012020761245674738,6.0,1734,,,,,,,,,,,,,,,,,,,,
,,,6.0,1734,0.5895487257657491,1.1185834407806396,0.42447960179753935,0.6581151509755714,0.6105440573287445,0.34521033885940694,0.6917063760563178,0.6876178086919584,0.5510045662100457,0.6276353946234031,0.5490069313436632,"[[24134, 8013, 11653], [16626, 48048, 11880], [29151, 13402, 51801]]",16.4863,35.059,8.795,,,,,
0.3147,2.0776824951171875,9.02076124567474e-05,7.0,2023,,,,,,,,,,,,,,,,,,,,
,,,7.0,2023,0.6061757693462645,1.158403754234314,0.4239086011517741,0.6854242554103278,0.6264877154722409,0.3573285311619167,0.7031460365434813,0.6918829588254888,0.5209817351598174,0.6685738171748047,0.5723869682260424,"[[22819, 8516, 12465], [13786, 51182, 11586], [27255, 13092, 54007]]",16.5045,35.021,8.785,,,,,
0.2279,1.554181456565857,6.0207612456747394e-05,8.0,2312,,,,,,,,,,,,,,,,,,,,
,,,8.0,2312,0.6075570206573297,1.2705668210983276,0.4267118900926419,0.6709486378038924,0.6400742945375613,0.3527148545267459,0.7414673474872346,0.6778443965210798,0.54,0.612678632076704,0.6062912012209339,"[[23652, 6692, 13456], [15919, 46903, 13732], [27486, 9662, 57206]]",17.0889,33.823,8.485,,,,,
0.1584,1.4647657871246338,3.0207612456747404e-05,9.0,2601,,,,,,,,,,,,,,,,,,,,
,,,9.0,2601,0.6083428356321758,1.3843846321105957,0.4252371881415176,0.6730036424768843,0.6408797069137434,0.357356003854403,0.7255988883182793,0.6796934410646388,0.5249543378995434,0.6275178305509836,0.6062594060665155,"[[22993, 7295, 13512], [15070, 48039, 13445], [26279, 10872, 57203]]",16.4201,35.201,8.831,,,,,
0.1097,2.215045928955078,2.0761245674740483e-07,10.0,2890,,,,,,,,,,,,,,,,,,,,
,,,10.0,2890,0.6076176127002628,1.4944477081298828,0.422262996941896,0.6702625105401432,0.642834081116888,0.3591516606642657,0.7183658226902682,0.6770002813994935,0.512283105022831,0.6281970896360739,0.611950738707421,"[[22438, 7687, 13675], [14590, 48091, 13873], [25447, 11167, 57740]]",17.4746,33.077,8.298,,,,,
,,,10.0,2890,,,,,,,,,,,,,,,,1746.454,13.215,1.655,3024821431078944.0,0.5016064561362085
