loss,grad_norm,learning_rate,epoch,step,eval_f1,eval_loss,eval_f1_class_0,eval_f1_class_1,eval_f1_class_2,eval_precision_class_0,eval_precision_class_1,eval_precision_class_2,eval_recall_class_0,eval_recall_class_1,eval_recall_class_2,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9475,1.4126336574554443,0.0002701559792027729,1.0,577,,,,,,,,,,,,,,,,,,,,
,,,1.0,577,0.6012099348397777,0.9063542485237122,0.2678677678082681,0.6875896485775759,0.7015867656988521,0.3320156936782796,0.8154625839491078,0.6063329272829393,0.22449386656028722,0.594384097748731,0.8323470215386464,"[[11255, 4273, 34607], [12042, 46019, 19362], [10602, 6141, 83124]]",40.0055,14.448,3.624,,,,,
0.8873,1.8414850234985352,0.00024015597920277294,2.0,1154,,,,,,,,,,,,,,,,,,,,
,,,2.0,1154,0.6270303582080556,0.886984646320343,0.408741066520066,0.7181887534103104,0.665943885269379,0.4024435036439908,0.7189696459776066,0.6707672616084761,0.41523885509125363,0.7174095553001046,0.6611893818778976,"[[20818, 9023, 20294], [9763, 55544, 12116], [21148, 12688, 66031]]",39.9759,14.459,3.627,,,,,
0.8046,3.1965079307556152,0.00021015597920277294,3.0,1731,,,,,,,,,,,,,,,,,,,,
,,,3.0,1731,0.6311268633782973,0.8569114208221436,0.3933939200132039,0.7207043911158104,0.6810270324590494,0.4073836687604153,0.7028208086809221,0.6834790677034482,0.38033310062830356,0.739521847513013,0.6785925280623228,"[[19068, 10085, 20982], [9765, 57256, 10402], [17973, 14125, 67769]]",40.4676,14.283,3.583,,,,,
0.6697,1.1913055181503296,0.00018020797227036393,4.0,2308,,,,,,,,,,,,,,,,,,,,
,,,4.0,2308,0.6134709347073407,0.9350408315658569,0.4340274875971525,0.6903388973191704,0.6439619773097378,0.35053013940702926,0.7835058310233405,0.7004119100859126,0.5697416974169742,0.6169742841274557,0.5959325903451591,"[[28564, 5412, 16159], [20358, 47768, 9297], [32566, 7787, 59514]]",40.0842,14.42,3.617,,,,,
0.5149,2.8971242904663086,0.00015020797227036393,5.0,2885,,,,,,,,,,,,,,,,,,,,
,,,5.0,2885,0.6306091790961751,1.0200488567352295,0.4141632669880908,0.7183453147308569,0.6712504417184109,0.42829139411501504,0.6971884914123181,0.6768679433533897,0.4009374688341478,0.7408263694251063,0.6657254148016862,"[[20101, 9833, 20201], [8528, 57357, 11538], [18304, 15079, 66484]]",40.1846,14.384,3.608,,,,,
0.3658,1.5980842113494873,0.00012020797227036393,6.0,3462,,,,,,,,,,,,,,,,,,,,
,,,6.0,3462,0.6320785951064195,1.1918387413024902,0.4134685362185241,0.7107452841904814,0.6808374867662201,0.40258881330309904,0.7628971339702288,0.6581736610898214,0.42495262790465743,0.6652674269919792,0.7051178066828883,"[[21305, 6236, 22594], [11938, 51507, 13978], [19677, 9772, 70418]]",40.5734,14.246,3.574,,,,,
0.2467,1.6386325359344482,9.020797227036395e-05,7.0,4039,,,,,,,,,,,,,,,,,,,,
,,,7.0,4039,0.6131439537645322,1.2917335033416748,0.42674789909103533,0.7071329889680611,0.6338520267865808,0.3613093262529041,0.74736024397963,0.6866785826937231,0.5211329410591403,0.671015073040311,0.5885728018264291,"[[26127, 7157, 16851], [15502, 51952, 9969], [30683, 10405, 58779]]",41.1421,14.049,3.524,,,,,
0.1571,1.3943297863006592,6.020797227036395e-05,8.0,4616,,,,,,,,,,,,,,,,,,,,
,,,8.0,4616,0.6368567584153483,1.401131272315979,0.45412927717018337,0.7184018801410106,0.6653704247201375,0.40224985380566924,0.7481469049816788,0.6980239935782541,0.5213722948040291,0.6909316353021712,0.6356353950754503,"[[26139, 7010, 16986], [13453, 53494, 10476], [25390, 10998, 63479]]",40.2074,14.375,3.606,,,,,
0.0996,0.7100436091423035,3.020797227036395e-05,9.0,5193,,,,,,,,,,,,,,,,,,,,
,,,9.0,5193,0.6246540640803055,1.4926509857177734,0.44213392954704006,0.7119841814512567,0.6485787565974945,0.38207094918504314,0.7511685257935939,0.6888261050641032,0.5246035703600279,0.6766852227374295,0.6127749907376812,"[[26301, 6624, 17210], [14597, 52391, 10435], [27940, 10731, 61196]]",41.1247,14.055,3.526,,,,,
0.0606,0.18344907462596893,2.0797227036395145e-07,10.0,5770,,,,,,,,,,,,,,,,,,,,
,,,10.0,5770,0.6218061571273608,1.6330927610397339,0.4458975860498406,0.7064741576585554,0.6444755634962791,0.37645055412884354,0.7548682703321878,0.6942113415169799,0.5467637379076493,0.6639112408457435,0.601389848498503,"[[27412, 6413, 16310], [15876, 51402, 10145], [29529, 10279, 60059]]",40.3565,14.322,3.593,,,,,
,,,10.0,5770,,,,,,,,,,,,,,,,4604.7296,5.012,1.253,1.0593261737402832e+16,0.47537701638153973
