loss,grad_norm,learning_rate,epoch,step,eval_f1,eval_loss,eval_f1_class_0,eval_f1_class_1,eval_f1_class_2,eval_precision_class_0,eval_precision_class_1,eval_precision_class_2,eval_recall_class_0,eval_recall_class_1,eval_recall_class_2,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.7457,1.9224693775177002,0.0002701039861351819,1.0,577,,,,,,,,,,,,,,,,,,,,
,,,1.0,577,0.6419079219309873,0.8158595561981201,0.45709353563803207,0.7305194118269333,0.6710462587978278,0.42304328815041536,0.7506630915283716,0.6889878748121971,0.4971049147283758,0.7114285714285714,0.6540153462959987,"[[25155, 7000, 18448], [10061, 51792, 10947], [24246, 10203, 65119]]",53.2004,10.865,2.726,,,,,
1.5116,2.4531877040863037,0.00024015597920277294,2.0,1154,,,,,,,,,,,,,,,,,,,,
,,,2.0,1154,0.6400932442514728,0.8098946809768677,0.44492398803936556,0.7316486942964792,0.6723416886193901,0.43592612257281554,0.6940473256100567,0.711858128963466,0.4543011283915973,0.7735576923076923,0.6369817612084204,"[[22989, 10139, 17475], [8288, 56315, 8197], [21459, 14686, 63423]]",53.1322,10.879,2.729,,,,,
1.2689,4.095081806182861,0.00021020797227036395,3.0,1731,,,,,,,,,,,,,,,,,,,,
,,,3.0,1731,0.6421917174642147,0.8446407914161682,0.4785205723283357,0.7341680051617863,0.6581243184296619,0.4220035319155359,0.7337348736382845,0.7198921652829469,0.5525166492105211,0.7346016483516483,0.6061184316246183,"[[27959, 7613, 15031], [10870, 53479, 8451], [27424, 11794, 60350]]",53.052,10.895,2.733,,,,,
0.9779,3.0361433029174805,0.00018020797227036393,4.0,2308,,,,,,,,,,,,,,,,,,,,
,,,4.0,2308,0.6425819369620563,0.9070525169372559,0.46735643529453236,0.7338093465534161,0.6649343056209702,0.42177682335162653,0.723260623040491,0.7212246479782973,0.5239807916526689,0.7446703296703296,0.6167945524666559,"[[26515, 8314, 15774], [10624, 54212, 7964], [25726, 12429, 61413]]",53.0249,10.901,2.735,,,,,
0.7366,6.889357089996338,0.00015020797227036393,5.0,2885,,,,,,,,,,,,,,,,,,,,
,,,5.0,2885,0.6363924540029857,1.1044557094573975,0.4200951919974185,0.7239849412668262,0.6822762447435865,0.42890970863790795,0.7228498267811417,0.6761888791343204,0.4116356737742822,0.7251236263736264,0.6884742085810702,"[[20830, 8486, 21287], [8471, 52789, 11540], [19264, 11754, 68550]]",53.1469,10.876,2.728,,,,,
0.5702,6.550334453582764,0.00012020797227036393,6.0,3462,,,,,,,,,,,,,,,,,,,,
,,,6.0,3462,0.6327903985090049,1.1959447860717773,0.4176191138762448,0.7198995470164519,0.6784553360886432,0.420073977806658,0.7078150513082611,0.6851997910414127,0.41519277513190916,0.7324038461538461,0.6718423589908404,"[[21010, 9261, 20332], [9080, 53319, 10401], [19925, 12749, 66894]]",53.0345,10.899,2.734,,,,,
0.4551,6.434717178344727,9.025996533795492e-05,7.0,4039,,,,,,,,,,,,,,,,,,,,
,,,7.0,4039,0.6392673928498462,1.296747088432312,0.42279228887287196,0.7227894484671394,0.6882176985465349,0.4347027388109552,0.7103877326329473,0.6878310593900482,0.41151710372902794,0.7356318681318681,0.6886047726177085,"[[20824, 9028, 20751], [8880, 53554, 10366], [18200, 12805, 68563]]",53.1133,10.882,2.73,,,,,
0.3599,2.243197441101074,6.0311958405545924e-05,8.0,4616,,,,,,,,,,,,,,,,,,,,
,,,8.0,4616,0.637858098338641,1.3610961437225342,0.42082257507064874,0.7204128969249759,0.6878004417305443,0.4332963513428649,0.7115049701256598,0.6844282673986117,0.40904689445289805,0.7295467032967033,0.6912060099630404,"[[20699, 9124, 20780], [8737, 53111, 10952], [18335, 12411, 68822]]",53.1329,10.878,2.729,,,,,
0.2898,1.0115454196929932,3.0363951473136912e-05,9.0,5193,,,,,,,,,,,,,,,,,,,,
,,,9.0,5193,0.6354413711022049,1.435192346572876,0.4197580402463736,0.7186937288930263,0.6841864693679711,0.42625756371859913,0.711121868570737,0.6843480270495674,0.4134537478015137,0.7264285714285714,0.6840249879479351,"[[20922, 9151, 20530], [9032, 52884, 10884], [19129, 12332, 68107]]",53.0626,10.893,2.733,,,,,
0.2368,2.49074649810791,3.63951473136915e-07,10.0,5770,,,,,,,,,,,,,,,,,,,,
,,,10.0,5770,0.6356691964513645,1.5078659057617188,0.4088371367676873,0.7187051192169729,0.690238611713666,0.4313544820323812,0.7123197107276333,0.6778604074676582,0.3885540382981246,0.7252060439560439,0.7030772939096899,"[[19662, 9147, 21794], [8531, 52795, 11474], [17389, 12175, 70004]]",53.2192,10.861,2.725,,,,,
,,,10.0,5770,,,,,,,,,,,,,,,,5094.4617,4.53,1.133,4.709465250094397e+16,0.8152431521093412
