loss,grad_norm,learning_rate,epoch,step,eval_f1,eval_loss,eval_f1_class_0,eval_f1_class_1,eval_f1_class_2,eval_precision_class_0,eval_precision_class_1,eval_precision_class_2,eval_recall_class_0,eval_recall_class_1,eval_recall_class_2,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.954,2.237820863723755,0.0002702076124567474,1.0,289,,,,,,,,,,,,,,,,,,,,
,,,1.0,289,0.41130827628216593,0.9484073519706726,0.4021436815798974,0.6092631896848234,0.2662313305599127,0.25945779259123175,0.8045062808782152,0.820201701859439,0.8935309668527013,0.4902789404045041,0.1589054199824965,"[[39545, 2578, 2134], [36464, 36313, 1289], [76405, 6246, 15615]]",11.0397,52.357,6.613,,,,,
0.9058,3.4971213340759277,0.0002402076124567474,2.0,578,,,,,,,,,,,,,,,,,,,,
,,,2.0,578,0.5954360075811215,0.9043076634407043,0.409998791582509,0.6548515728843598,0.6341698688220485,0.331717809405422,0.7717237967865452,0.6617261555818558,0.5366382719117879,0.568722490751492,0.608816884782122,"[[23750, 4437, 16070], [17430, 42123, 14513], [30417, 8023, 59826]]",10.9685,52.697,6.655,,,,,
0.8769,2.0790746212005615,0.00021031141868512108,3.0,867,,,,,,,,,,,,,,,,,,,,
,,,3.0,867,0.5537244731270793,0.9037115573883057,0.41900388601890887,0.6621985555147509,0.532639740233922,0.2959035336215894,0.7640806525654155,0.7634833488478124,0.7174910183699754,0.5842896875759458,0.40898174343109517,"[[31754, 4510, 7993], [26333, 43276, 4457], [49225, 8852, 40189]]",11.6794,49.489,6.25,,,,,
0.8415,4.529727458953857,0.00018031141868512108,4.0,1156,,,,,,,,,,,,,,,,,,,,
,,,4.0,1156,0.5902608195245144,0.9298317432403564,0.40888430799384956,0.6408296529729484,0.6338338666885479,0.32653253990743364,0.730001208125507,0.6852931782964076,0.5467835596628782,0.5710717468204034,0.5895630228156229,"[[24199, 5321, 14737], [19901, 42297, 11868], [30009, 10323, 57934]]",12.0491,47.97,6.059,,,,,
0.7895,9.401474952697754,0.0001503114186851211,5.0,1445,,,,,,,,,,,,,,,,,,,,
,,,5.0,1445,0.586303598753623,0.913041353225708,0.4026540915784307,0.6801694836336546,0.5982660843491298,0.32892268476751013,0.6703289499560788,0.7161665602610484,0.5189913460017624,0.6903032430534928,0.5136975149085137,"[[22969, 8315, 12973], [15905, 51128, 7033], [30957, 16830, 50479]]",11.1177,51.989,6.566,,,,,
0.7034,13.785531044006348,0.00012031141868512109,6.0,1734,,,,,,,,,,,,,,,,,,,,
,,,6.0,1734,0.598319819728376,1.037466049194336,0.35936268558161333,0.6700616604272187,0.6518672798135814,0.339887583858815,0.6833225724952979,0.6605855432261301,0.3812052330704747,0.6573056463154484,0.643376142307614,"[[16871, 8102, 19284], [12182, 48684, 13200], [20584, 14460, 63222]]",11.1539,51.82,6.545,,,,,
0.6128,3.920656204223633,9.03114186851211e-05,7.0,2023,,,,,,,,,,,,,,,,,,,,
,,,7.0,2023,0.5381351435205645,1.0698087215423584,0.35814885619556885,0.6486031149627295,0.5359343044236939,0.3028646402799038,0.5884170478536243,0.6952761144377911,0.43812278283661343,0.722504252963573,0.4360104206948487,"[[19390, 12562, 12305], [14080, 53513, 6473], [30552, 24869, 42845]]",11.6553,49.591,6.263,,,,,
0.5244,5.937877655029297,6.0311418685121104e-05,8.0,2312,,,,,,,,,,,,,,,,,,,,
,,,8.0,2312,0.5781195205746643,1.1249772310256958,0.3424549951552858,0.6544347837745437,0.6267369326736932,0.312114226221462,0.6498994767465083,0.6645152461970032,0.3793298235307409,0.6590338346879809,0.5930230191520973,"[[16788, 9137, 18332], [14166, 48812, 11088], [22834, 17158, 58274]]",11.968,48.296,6.1,,,,,
0.4481,3.7943267822265625,3.0311418685121104e-05,9.0,2601,,,,,,,,,,,,,,,,,,,,
,,,9.0,2601,0.572884352164196,1.1668928861618042,0.3433471235813241,0.6496698310669385,0.6183877393477756,0.3083927157561362,0.6497839005942734,0.6585189187946239,0.38723817701154617,0.6495558015823725,0.5828669122585635,"[[17138, 8692, 18427], [14682, 48110, 11274], [23752, 17238, 57276]]",11.3415,50.963,6.437,,,,,
0.3826,3.6327157020568848,3.1141868512110725e-07,10.0,2890,,,,,,,,,,,,,,,,,,,,
,,,10.0,2890,0.5758548965515372,1.2678897380828857,0.33062922954058255,0.6504305815238901,0.6300896233313138,0.30903412104425715,0.6575469094922737,0.6472071414776507,0.3554691913143683,0.6434666378635271,0.6138542323896363,"[[15732, 8485, 20040], [13566, 47659, 12841], [21609, 16336, 60321]]",11.2428,51.411,6.493,,,,,
,,,10.0,2890,,,,,,,,,,,,,,,,951.2876,24.262,3.038,790594671402912.0,0.7039135177242715
